id,shop_id,menu_category_id,name,kitchen_name,slug,description,hero_image_path,from_price_minor,sort_order,is_active,allergy_note,dietary_slugs,options_payload
48,3,8,OEUF,OEUF,oeuf,"Oeuf complet",oe0307.jpg,1000,41,1,,,
40,3,8,"FEUILLE DE NORI 4 PIÈCES","FEUILL DE NO",feuille-de-nori-4-pi-ces,"Feuille de nori 4 pièces",fn0307.jpg,3000,42,1,,,
46,3,8,"ALGUE NOIR ÉMINCÉS","ALGUE NOIR M",algue-noir-minc-s,"Algue noir émincés 刻み海苔",an0307.jpg,2000,43,1,,,
47,3,8,"ALGUE WAKAMÉ VERT","ALGUE WAKAM",algue-wakam-vert,"L'algue wakamé est une algue alimentaire qui nous vient d'asie où elle est traditionnellement",aw0307.jpg,3500,44,1,,,
49,3,8,"GARI PINK (GINGEMBRE)","GARI PINK GI",gari-pink-gingembre,"Le gari ou le gingembre rose est un condiment d'origine japonaise, préparé à partir de gingembre mariné, qui accompagne traditionnellement les sushis ガリです。",gp0307.jpg,2500,45,1,,,
44,3,8,"AIL FRIT","AIL FRIT",ail-frit,"Ail frit",af0307.jpg,1000,46,1,,,
50,3,8,"FLACONS DE POISSON (鰹節)","FLACON DE PO",flacons-de-poisson,"Le katsuobushi est une préparation japonaise à base de bonite séchée et fermentée, utilisée comme condiment pour rehausser la saveur umami des plats traditionnels",fp0307.jpg,4000,47,1,,,
43,3,8,"SPICY (ÉPICES)","SPICY PICES",spicy-pices,"Épices de spicy 七味",sp0307.jpg,1000,48,1,,,
45,3,8,"DIABLE SPICY","DIABLE SPICY",diable-spicy,"Épice spicy « hyper épicé »",ds0307.jpg,2000,49,1,,,
41,3,8,"SAUCE SOJA","SAUCE SOJA",sauce-soja,"Sauce soja salée 醤油",ss0307.jpg,1500,50,1,,,
42,3,8,"SAUCE TERIYAKI","SAUCE TERYAK",sauce-teriyaki,"La sauce teriyaki est une sauce sucrée largement utilisée dans la cuisine japonaise.",st0307.jpg,1500,51,1,,,
